Id,Level,MonsterId,MoveType,Day,AppearTimer
1,1,0,3,0,0:00
2,1,0,1,0,0:00
3,1,0,0,0,0:00
4,1,0,1,0,0:00
5,1,0,2,0,0:30
6,1,0,0,0,0:30
7,1,0,0,0,0:30
8,1,0,2,0,1:00
9,1,0,2,0,1:00
10,1,0,2,0,1:00
11,1,0,2,0,1:00
12,1,0,0,0,1:30
13,1,0,3,0,1:30
14,1,0,0,0,1:30
15,1,0,3,0,2:00
16,1,0,2,0,2:00
17,1,0,0,0,2:00
18,1,0,3,0,2:00
19,1,0,3,0,2:00
20,1,0,3,0,2:00
21,1,0,2,0,2:20
22,1,0,1,0,2:20
23,1,0,2,0,2:20
24,1,0,1,0,2:20
25,1,0,1,0,2:20
26,1,0,0,0,2:20
27,1,0,0,0,2:40
28,1,0,1,0,2:40
29,1,0,0,0,2:40
30,1,0,1,0,2:40
31,1,0,3,0,2:40
32,1,0,0,0,3:20
33,1,0,2,0,3:20
34,1,0,2,0,3:20
35,1,0,2,0,3:20
36,1,0,2,0,3:20
37,1,0,0,0,3:20
38,1,0,3,0,3:20
39,1,0,2,0,3:20
40,1,0,1,0,3:20
41,1,0,0,0,3:20
42,1,0,1,0,4:00
43,1,0,1,0,4:00
44,1,0,2,0,4:00
45,1,0,0,0,4:00
46,1,0,3,0,4:00
47,1,0,1,0,4:00
48,1,0,1,0,4:00
49,1,0,0,0,4:00
50,1,0,2,0,4:00
51,1,0,3,0,4:00
52,1,0,0,0,4:00
53,1,0,2,0,4:00
54,1,0,2,0,4:00
55,1,2,2,0,4:00
56,1,2,1,0,4:00
57,1,2,2,0,4:00
58,1,0,1,0,6:10
59,1,0,2,0,6:10
60,1,0,3,0,6:10
61,1,2,1,0,6:10
62,1,2,1,0,6:10
63,1,2,2,0,6:10
64,1,2,2,0,6:10
65,1,2,2,0,6:10
66,1,2,2,0,6:10
67,1,2,3,0,6:10
68,1,0,1,0,6:10
69,1,0,1,0,6:10
70,1,0,3,0,6:10
71,1,0,3,0,6:10
72,1,0,0,0,6:10
73,1,0,3,0,6:10
74,1,0,3,0,6:10
75,1,0,0,0,6:10
76,1,0,0,0,6:10
77,1,0,1,0,6:10
78,1,3,3,0,6:10
79,1,0,3,0,6:10
80,1,0,3,0,6:10
81,1,0,2,0,6:10
82,1,0,0,0,6:10
83,1,0,1,0,6:10
84,1,0,3,0,6:10
85,1,0,2,0,6:10
86,1,6,0,0,7:10
87,1,7,0,0,7:10
88,1,7,0,0,7:10
89,1,2,3,0,8:00
90,1,5,0,0,8:00
91,1,6,1,0,8:00
92,1,0,2,0,8:00
93,1,5,2,0,8:00
94,1,5,2,0,8:00
95,1,6,0,0,8:00
96,1,7,1,0,8:00
97,1,0,0,0,9:40
98,1,0,0,0,9:40
99,1,0,1,0,9:40
100,1,5,0,0,9:40
101,1,6,2,0,9:40
102,1,0,2,0,9:40
103,1,0,1,0,9:40
104,1,0,3,0,9:40
105,1,5,2,0,9:40
106,1,0,1,0,9:40
107,1,0,1,0,9:40
108,1,0,0,0,9:40
109,1,0,3,0,9:40
110,1,0,3,1,0:00
111,1,0,0,1,0:00
112,1,0,3,1,0:00
113,1,0,2,1,0:00
114,1,0,3,1,0:30
115,1,0,2,1,0:30
116,1,0,3,1,0:30
117,1,0,2,1,1:00
118,1,0,2,1,1:00
119,1,0,3,1,1:00
120,1,0,2,1,1:00
121,1,0,1,1,1:30
122,1,0,0,1,1:30
123,1,0,3,1,1:30
124,1,0,3,1,2:00
125,1,0,1,1,2:00
126,1,0,2,1,2:00
127,1,0,0,1,2:00
128,1,0,1,1,2:00
129,1,0,0,1,2:00
130,1,0,3,1,2:20
131,1,2,2,1,2:20
132,1,2,3,1,2:20
133,1,2,3,1,2:20
134,1,0,2,1,2:20
135,1,0,3,1,2:20
136,1,0,1,1,2:40
